DATE,DATE_yrmo,ELEVATION,LATITUDE,LONGITUDE,Month,PRCP,TAVG,TMAX,TMIN,TAVG_CELS,TAVG_CELS_28yrs,temp_anomalies
19520114.17,195201,51.00,60.33,24.96,1,0.17,29.48,33.26,27.55,-1.40,-5.84,4.44
19520215.60,195202,51.00,60.33,24.96,2,0.09,24.80,29.14,17.76,-4.00,-7.06,3.06
19520315.08,195203,51.00,60.33,24.96,3,0.13,13.81,26.05,-0.62,-10.11,-3.87,-6.24
19520415.46,195204,51.00,60.33,24.96,4,0.10,39.61,49.92,29.88,4.23,2.37,1.86
19520516.44,195205,51.00,60.33,24.96,5,0.19,44.67,53.30,33.92,7.04,9.48,-2.44
19520616.15,195206,51.00,60.33,24.96,6,0.23,56.50,64.43,45.17,13.61,14.66,-1.05
19520715.50,195207,51.00,60.33,24.96,7,0.20,61.21,69.78,51.70,16.23,16.52,-0.29
19520816.00,195208,51.00,60.33,24.96,8,0.28,57.48,65.85,47.75,14.16,15.05,-0.89
19520915.92,195209,51.00,60.33,24.96,9,0.30,47.23,53.68,40.00,8.46,9.93,-1.47
19521016.39,195210,51.00,60.33,24.96,10,0.25,35.89,39.88,32.26,2.16,4.95,-2.79
19521115.39,195211,51.00,60.33,24.96,11,0.21,27.71,31.04,24.68,-2.38,0.25,-2.62
19521214.72,195212,51.00,60.33,24.96,12,0.13,26.76,30.28,21.88,-2.91,-4.17,1.26
19530116.32,195301,51.00,60.33,24.96,1,0.14,22.29,26.30,14.73,-5.40,-5.84,0.44
19530214.52,195302,51.00,60.33,24.96,2,0.09,16.41,23.29,10.56,-8.66,-7.06,-1.60
19530314.78,195303,51.00,60.33,24.96,3,0.14,31.13,39.26,23.06,-0.48,-3.87,3.39
19530415.11,195304,51.00,60.33,24.96,4,0.12,39.96,49.77,29.65,4.42,2.37,2.05
19530516.00,195305,51.00,60.33,24.96,5,0.16,48.68,58.20,37.93,9.27,9.48,-0.21
19530615.89,195306,51.00,60.33,24.96,6,0.22,62.67,72.79,52.50,17.04,14.66,2.38
19530717.00,195307,51.00,60.33,24.96,7,0.34,62.72,70.91,53.24,17.07,16.52,0.55
19530816.41,195308,51.00,60.33,24.96,8,0.26,59.21,67.00,52.30,15.11,15.05,0.06
19530915.15,195309,51.00,60.33,24.96,9,0.22,49.37,57.58,42.85,9.65,9.93,-0.28
19531016.21,195310,51.00,60.33,24.96,10,0.10,45.00,49.59,39.91,7.22,4.95,2.27
